Ref,Val,Package,PosX,PosY,Rot,Side
"","","",63.938580,-0.952640,0.000000,top
"","","",56.988580,-12.642640,0.000000,top
"","","",-45.741420,-14.632640,0.000000,top
"","","",-0.991420,0.807360,0.000000,top
"","","",43.058580,22.667360,0.000000,top
"","","",31.048580,-3.922640,0.000000,top
"","","",-56.181420,-16.282640,0.000000,top
"","","",31.008580,22.647360,0.000000,top
"","","",-63.611420,-4.312640,0.000000,top
"C1","100nF","C_0805_2012Metric",128.270000,-69.850000,90.000000,top
"C2","10nF","C_0805_2012Metric",125.730000,-90.170000,90.000000,top
"C3","470nf","C_0805_2012Metric",133.350000,-90.170000,-90.000000,top
"C4","100nF","C_0805_2012Metric",133.350000,-85.090000,-90.000000,top
"C5","100nF","C_0805_2012Metric",137.160000,-73.025000,0.000000,top
"R1","330","R_0805_2012Metric",164.465000,-77.470000,0.000000,top
"R2","330","R_0805_2012Metric",160.020000,-77.470000,180.000000,top
"R3","820","R_0805_2012Metric",174.625000,-87.630000,180.000000,top
"R4","820","R_0805_2012Metric",174.625000,-78.740000,180.000000,top
"R5","10k","R_0805_2012Metric",130.810000,-93.980000,180.000000,top
"R6","470k","R_0805_2012Metric",132.715000,-81.915000,180.000000,top
"R7","470k","R_0805_2012Metric",134.620000,-69.850000,-90.000000,top
"R8","47k","R_0805_2012Metric",126.365000,-93.980000,0.000000,top
"R9","470k","R_0805_2012Metric",131.445000,-69.850000,-90.000000,top
"R10","470k","R_0805_2012Metric",128.270000,-81.915000,0.000000,top
"SW7","SW_DPDT_x2","SW_DPDT_K3-2245S-K1",113.630000,-73.570000,180.000000,top
"U1","NE555D","TSSOP-8_4.4x3mm_P0.65mm",129.540000,-88.265000,-90.000000,top
"U2","74LVC2G32","VSSOP-8_2.3x2mm_P0.5mm",137.160000,-78.105000,90.000000,top
"U3","74LVC2G00","SSOP-8_2.95x2.8mm_P0.65mm",137.160000,-85.725000,90.000000,top
"U4","74LS125","TSSOP-14_4.4x5mm_P0.65mm",130.810000,-76.200000,90.000000,top
